Class Name Short,Class Name Long,Credits
SocSci 483,PRINCIPLES OF NEGOTIATION,3.0
SocSci 495S,STATESMANSHIP,3.0
SocSci 499,INDEPENDENT STUDY,3.0
Space 251E,BASIC SPACE OPERATIONS,0.0
Space 251G,BASIC SPACE OPERATIONS,0.0
Space 252F,ADV SPACE OPERATIONS 2,0.0
Space 252H,BASIC SPACE OPERATIONS 2,0.0
Space 350,ADV. SPACE OPERATIONS UPGRADE,3.0
Space 473,ADV. SPACE OPS INSTRUCTOR,0.0
Spanish 132,BASIC SPANISH,3.0
Spanish 222,INTERMED SPANISH II,3.0
Spanish 322,ADVANCED SPANISH,3.0
Spanish 410,CURR. EVENTS/SPANIS SPKG WORLD,3.0
Spanish 421,INTRO LIT (LATIN AMER),3.0
Spanish 440,SPANSIH SEM. ABROAD EXCH. PREP,1.0
SysEngr 301,PROJECT MANAGEMENT,3.0
SysEngr 310,INTRO TO SYSTEMS ENGINEERING,3.0
SysEngr 320,OPTIMIZ THEORY w/DESIGN APPS,3.0
SysEngr 336,ENGR. ECONOMICS & FINAN. MGT.,3.0
SysEngr 406,SYSTEMS ENGINEERING SEMINAR II,0.0
SysEngr 470,HUMAN SYSTEMS INTEGRATION,3.0
SysEngr 492A,SYS ENGR CAPSTONE DESIGN II,3.0
SysEngr 492A1,SYS ENGR CAPSTONE DESIGN II,3.0
SysEngr 492B,SYS ENGR CAPSTONE DESIGN II,4.0
SysEngr 492BL,SYS ENGR CAPSTONE DESIGN II,3.0
SysEngr 492C,SYS ENGR CAPSTONE DESIGN II,3.0
SysEngr 492E,SYS ENGR CAPSTONE DESIGN II,3.0
SysEngr 492H,SYS ENGR CAPSTONE DESIGN II,3.0
SysEngr 495,MODEL-BASED ENGINEERING,3.0
SysEngr 499,INDEPENDENT STUDY,3.0
UAS 400,RPA INSTRUCTOR,0.0
