Class Name Short,Class Name Long,Credits
Chem 482,BIOCHEMISTRY II,3.0
Chem 499,INDEPENDENT STUDY,3.0
Chem 499C,INDEPENDENT STUDY,1.0
Chinese 132,BASIC CHINESE,3.0
Chinese 222,INTERMED CHINESE II,3.0
Chinese 322,ADVANCED CHINESE COMMUNICATION,3.0
Chinese 410,CURR. EVENTS/CHINESE SPKG WRLD,3.0
Chinese 431,CULTURE & KNOWL OF CHINESE MIL,3.0
Chinese 499,CHINESE INDEPENDENT ST,3.0
CivEngr 215,COMPUTER APPS/CIVIL ENGINEERS,3.0
CivEngr 330,ELEMENTARY STRUC ANLYS,3.0
CivEngr 356,SUSTAINABLE ENGINEERING,3.0
CivEngr 361,FUNDAMENTAL HYDRAULICS,3.0
CivEngr 362,INTRO TO ENVIRON ENGR,3.0
CivEngr 363,HUMANITARIAN ENGINEERING,3.0
CivEngr 372,BEH & ANAL OF STRUCT,3.0
CivEngr 373,BEH & DSGN STEEL MBR,3.0
CivEngr 390,INTRO/GEOTECHNICAL ENGINEERING,3.0
CivEngr 405,SENIOR SEMINAR,0.0
CivEngr 464,ARCHITECTURAL DESIGN,3.0
CivEngr 473,STRUCTURAL DESIGN,3.0
CivEngr 480,PROJECT MGT & CONTRACT ADMIN,3.0
CivEngr 486,APPLIED CONSTRUCTION PRACTICES,3.0
CivEngr 488,PAVEMENT DESIGN/TRANSP,3.0
CivEngr 492,EARTH STRUCTURES,3.0
CivEngr 499,INDEPENDENT STUDY,3.0
CivEngr 499C,INDEPENDENT STUDY,1.0
CompSci 110,INTRO TO COMPUTING & CYBER OPS,3.0
CompSci 110S,INTRO/COMPUTER SCI. FOR SCHOLA,3.0
CompSci 110Z,INTRO TO COMPUTING & CYBER OPS,3.0
CompSci 206,FUNDAMENTALS/PROG FOR ENGINEER,1.0
CompSci 211,INTRO/PROGRAMMING SCIENTISTS,4.0
CompSci 212,INTRO/PROGRAMMING FOR ANALYSTS,4.0
CompSci 220,DATA STRUCTURES & SYS PROGRAMM,3.0
CompSci 351,COMPUTER ORGANIZA. & ARCHITECT,3.0
CompSci 362,COMPUTER SIMULATION,3.0
CompSci 364,INFO STORAGE & RETRIEV,3.0
CompSci 380,DSGN & ANALY OF ALGORITHMS,3.0
CompSci 385,SOFTWARE DEVELO/MOBILE DEVICES,3.0
CompSci 406,COMPUTER SCIENCE COLLOQUIUM II,0.0
CompSci 454,SOFTWARE ENGR II,3.0
CompSci 474,COMPUTER GRAPHICS,3.0
CompSci 483,OPERATING SYSTEMS,3.0
CompSci 499,INDEPENDENT STUDY,3.0
CompSci 499C,independent study,1.0
Cyber 355X,SENIOR CYBER INSTRUCTOR TNG,1.0
Cyber 455X,MASTER CYBER INSTRUCTOR TRAINI,1.0
CyberSci 334,CYBER DEFENSE,3.0
CyberSci 406,CYBER SCIENCE COLLOQUIUM II,0.0
CyberSci 439,CYBER SCIENCE CAPSTONE II,3.0
ECE 210,INTRO/ELECTRICAL & COMPUT ENGR,1.0
ECE 215,PRINCIPLES OF ELECTRONIC CYBER,3.0
ECE 281,DIGITAL DESIGN & COMP. ARCHITE,3.0
ECE 311,ELECTRIC POWER,3.0
ECE 315,PRIN/AF ELECT & CYBER SYS,3.0
ECE 322,ELECTRONICS II,3.0
ECE 332,ELECTRICAL CIRCUITS & SYSTEMS,3.0
ECE 343,ELECTROMAGNETICS,3.0
ECE 348,TELECOMMUNICATION PRINCIPLES,3.0
ECE 383,EMBEDDED COMPUTER SYSTEMS II,3.0
ECE 387,INTRO TO ROBOTIC SYSTEMS,3.0
ECE 448,WIRELESS COMMUNICATIONS,3.0
ECE 464,CAPSTONE DESIGN PROJECT II,3.0
ECE 485,ADVANCED COMPUTER ARCHITECTURE,3.0
ECE 499,INDEPENDENT STUDY,3.0
ECE 499C,LABORATORY TECHNIQUES,1.0
Econ 201,INTRODUCTION TO ECONOMICS,3.5
Econ 332,INTERMEDIATE MICROECONOMICS I,3.0
Econ 356,INTERMEDIATE MACROECONOMICS,3.0
Econ 365,ECONOMETRICS I,3.0
Econ 374,"""SURVEY OF INTERNATL ECONOMICS""",3.0
Econ 422,LABOR ECONOMICS,3.0
Econ 440,DEVELOPMENT/ECONOMIC THOUGHT,3.0
Econ 454,ECONONOMICS/DEVELOP. & CONFLIC,3.0
Econ 465,ECONOMETRICS II,3.0
Econ 475,MONEY - BANKING & FINANCIAL INS,3.0
Econ 476,THE ECONOMICS OF SPORTS,3.0
Econ 480,DEFENSE ECONOMICS,3.0
Econ 482,APPL ECON RESEARCH CAPSTONE II,3.0
Econ 499,INDEPENDENT STUDY,3.0
Econ 499B,INDEPENDENT STUDY,1.5
English 111,INTRO/COMPOSITION & RESEARCH,3.0
English 200S,LITERATURE & THE FINE ARTS I,3.0
English 211,LIT & INTERMEDIATE COMPOSITION,3.0
English 211FR,LITERATURE & INTERMEDIATE COMP,3.0
English 211S,SCHOLARS LITERATURE & INT. COM,3.0
English 211Z,DIGITAL APPROACHES TO LITERAT.,3.0
English 241,INTRO TO LITERARY STUDIES,3.0
English 344,BRITISH LITERATURE II,3.0
English 360,CLASSICAL MASTERPIECES,3.0
English 366,DIGITAL HUM- MEDIA & COMMUNICA,3.0
English 375,CREATIVE WRITING,3.0
English 380,RACE - GENDER - CLASS & CULTURE,3.0
English 383,LITERATURE & SCIENCE,3.0
English 390,SECOND CLASS SEMINAR,3.0
English 411,WAR LITERATURE & FILM,3.0
English 490,FIRST CLASS SEMINAR,3.0
English 499,INDEPENDENT STUDY,3.0
English 499C,INDEPENDENT STUDY,1.0
Engr 342,LIN CTRL SYS ANAL/DSGN,3.0
Engr 402,PROFESSIONAL ENGR DEVELOPMENT,0.5
Engr 495Z,TECHNICAL WRITING FOR ENGINEER,1.5
ExtProg 708,CADET HONOR COMMITTEE,0.0
ExtProg 710,WORSHIP EXCUSAL,0.0
FineArt 358,MUSIC IN HISTORY,3.0
FineArt 375,INTRO TO FILM STUDIES,3.0
ForArStu 400,FOREIGN LANGUAGE IMMERSION,3.0
ForArStu 410,MODEL ARAB LEAGUE,3.0
ForArStu 420,MODEL OAS,3.0
ForArStu 425,ADV MODEL ORG/AMER STA,3.0
ForArStu 440,MODEL NATO,3.0
ForArStu 445,ADVANCED MODEL EUROPEAN ORGS,3.0
French 132,BASIC FRENCH,3.0
French 222,INTERMED FRENCH II,3.0
French 322,ADVANCED FRENCH COMMUNICATIONS,3.0
French 410,CURR. EVENTS/FRENCH-SPKG WORLD,3.0
French 430,ADV. STUDIES IN FRENCH,3.0
French 495,FRENCH AVIATION LITERATURE,3.0
French 499,FRENCH INDEPENDENT STU,3.0
Geo 200,INTRO TO GEOSPATIAL THINKING,3.0
Geo 250,HUMAN GEOGRAPHY,3.0
Geo 340,INTRO TO GEO INFORMATION SYS,3.0
Geo 351,PHYSICAL GEOGRAPHY,3.0
Geo 353,GEOMORPHOLOGY,3.0
Geo 412,WORLD CULTURAL GEOGRAPHY,3.0
Geo 482,ADVANCED REMOTE SENSING,3.0
Geo 495,THE GEOINT ENTERPRISE,1.5
Geo 498,CAPSTONE IN GEOSPATIAL SCIENCE,3.0
German 132,BASIC GERMAN,3.0
German 222,INTERMEDIATE GERMAN II,3.0
German 322,ADVANCED GERMAN COMMUNICATIONS,3.0
German 410,CURR. EVENTS/GERMAN SPKG WORLD,3.0
German 495,GERMAN HUMOR/POST-WAR LIT & CU,3.0
German 499,GERMAN INDEPENDENT STU,3.0
History 100,THE HISTORY OF MODERN WARFARE,3.0
History 100S,HISTORY OF MODERN WARFARE,3.0
History 200,"""THE HISTORIANS CRAFT: INTRO""",3.0
History 220,LET FREEDOM RING: AMER HISTOR,3.0
History 240,INTRO TO RUSSIAN AND EURASIA,3.0
History 250,HISTORY/MIDDLE EAST & N AFRICA,3.0
History 260,HISTORIA PASADA Y PRESENTE,3.0
History 270,MODERN EAST ASIAN HISTORY,3.0
History 300,WORLD HISTORY,3.0
History 300S,SCHOLARS WORLD HISTORY,3.0
